Fecha,Tienda,Categoria,Vendedor,Producto,Cantidad, Precio , Ingresos 
3/28/2026,Tienda E,Hogar,Carlos,Ventilador Imaco,1," $1,233.14 "," $1,233.14 "
3/29/2026,Tienda E,Hogar,Luis,Licuadora Oster,6, $711.20 ," $4,267.20 "
3/30/2026,Tienda A,Hogar,Lucía,Microondas LG,3," $1,497.11 "," $4,491.33 "
3/31/2026,Tienda A,Deportes,María,Guantes Everlast,7, $733.48 ," $5,134.36 "
04/01/2026,Tienda D,Hogar,Rosa,Cafetera Delonghi,5, $526.96 ," $2,634.80 "
04/02/2026,Tienda D,Belleza,Carlos,Perfume Dior,9," $1,131.65 "," $10,184.85 "
04/03/2026,Tienda C,Electrónica,Carlos,Smartphone Samsung,6, $328.21 ," $1,969.26 "
04/04/2026,Tienda A,Ropa,Carlos,Zapatillas Nike,2, $373.38 , $746.76 
04/05/2026,Tienda A,Juguetes,María,Drone para niños,1, $380.68 , $380.68 
04/06/2026,Tienda C,Hogar,Ana,Plancha Philips,2," $1,461.64 "," $2,923.28 "
04/07/2026,Tienda A,Deportes,Rosa,Raqueta Wilson,1," $1,304.11 "," $1,304.11 "
04/08/2026,Tienda A,Electrónica,Carlos,Smartphone Samsung,4, $242.72 , $970.88 
04/09/2026,Tienda A,Juguetes,Pedro,Puzzle 1000 piezas,8," $1,099.96 "," $8,799.68 "
04/10/2026,Tienda B,Juguetes,Ana,Lego Star Wars,4," $1,253.25 "," $5,013.00 "
04/11/2026,Tienda C,Deportes,Ana,Guantes Everlast,3," $1,019.20 "," $3,057.60 "
04/12/2026,Tienda C,Deportes,Lucía,Bicicleta Trek,5, $626.76 ," $3,133.80 "
4/13/2026,Tienda D,Ropa,Lucía,Casaca Puma,1, $121.12 , $121.12 
4/14/2026,Tienda B,Belleza,Pedro,Maquillaje Maybelline,4," $1,385.47 "," $5,541.88 "
4/15/2026,Tienda D,Electrónica,Pedro,Tablet Lenovo,10, $437.48 ," $4,374.80 "
4/16/2026,Tienda B,Electrónica,José,Smartwatch Apple,7, $55.81 , $390.67 
4/17/2026,Tienda E,Electrónica,María,Smartwatch Apple,8, $518.47 ," $4,147.76 "
4/18/2026,Tienda C,Ropa,Carlos,Zapatillas Nike,5, $620.61 ," $3,103.05 "
4/19/2026,Tienda C,Belleza,Ana,Perfume Dior,10, $188.31 ," $1,883.10 "
4/20/2026,Tienda E,Deportes,Ana,Balón Adidas,4," $1,246.40 "," $4,985.60 "
4/21/2026,Tienda B,Deportes,Rosa,Bicicleta Trek,8, $447.35 ," $3,578.80 "
4/22/2026,Tienda B,Ropa,María,Polo Adidas,8, $521.35 ," $4,170.80 "
4/23/2026,Tienda E,Juguetes,Carlos,Puzzle 1000 piezas,3, $522.10 ," $1,566.30 "
4/24/2026,Tienda C,Deportes,Pedro,Bicicleta Trek,2, $893.07 ," $1,786.14 "
4/25/2026,Tienda B,Juguetes,María,Lego Star Wars,3, $950.52 ," $2,851.56 "
4/26/2026,Tienda B,Ropa,Pedro,Polo Adidas,3," $1,128.87 "," $3,386.61 "
4/27/2026,Tienda B,Deportes,María,Balón Adidas,1," $1,370.40 "," $1,370.40 "
4/28/2026,Tienda B,Belleza,Lucía,Perfume Dior,5," $1,299.03 "," $6,495.15 "
4/29/2026,Tienda D,Juguetes,Pedro,Drone para niños,1, $221.11 , $221.11 
4/30/2026,Tienda A,Juguetes,José,Puzzle 1000 piezas,10," $1,124.00 "," $11,240.00 "
05/01/2026,Tienda E,Belleza,José,Maquillaje Maybelline,1, $852.51 , $852.51 
05/02/2026,Tienda B,Deportes,Ana,Bicicleta Trek,10," $1,053.30 "," $10,533.00 "
05/03/2026,Tienda D,Ropa,Carlos,Polo Adidas,5," $1,146.79 "," $5,733.95 "
05/04/2026,Tienda E,Deportes,José,Bicicleta Trek,9, $699.90 ," $6,299.10 "
05/05/2026,Tienda B,Ropa,Carlos,Camisa Lacoste,2, $244.60 , $489.20 
05/06/2026,Tienda C,Ropa,Pedro,Camisa Lacoste,5, $413.19 ," $2,065.95 "
05/07/2026,Tienda D,Belleza,Pedro,Plancha de cabello Remington,3, $242.75 , $728.25 
05/08/2026,Tienda A,Electrónica,José,Laptop HP,6, $415.84 ," $2,495.04 "
05/09/2026,Tienda A,Hogar,Ana,Plancha Philips,6, $272.99 ," $1,637.94 "
05/10/2026,Tienda B,Electrónica,Ana,Smartwatch Apple,1, $333.00 , $333.00 
05/11/2026,Tienda B,Juguetes,Ana,Muñeca Barbie,1, $550.97 , $550.97 
05/12/2026,Tienda A,Hogar,Carlos,Cafetera Delonghi,8," $1,102.35 "," $8,818.80 "
5/13/2026,Tienda A,Juguetes,Pedro,Puzzle 1000 piezas,6, $893.93 ," $5,363.58 "
5/14/2026,Tienda E,Deportes,María,Raqueta Wilson,3," $1,419.71 "," $4,259.13 "
5/15/2026,Tienda A,Belleza,Carlos,Crema Nivea,7, $799.18 ," $5,594.26 "
5/16/2026,Tienda B,Juguetes,Carlos,Muñeca Barbie,5," $1,037.23 "," $5,186.15 "
5/17/2026,Tienda D,Deportes,Pedro,Bicicleta Trek,5, $410.73 ," $2,053.65 "
5/18/2026,Tienda E,Electrónica,Pedro,Auriculares Sony,5," $1,103.42 "," $5,517.10 "
5/19/2026,Tienda B,Deportes,Carlos,Balón Adidas,10, $901.73 ," $9,017.30 "
5/20/2026,Tienda E,Hogar,Lucía,Ventilador Imaco,5," $1,341.51 "," $6,707.55 "
5/21/2026,Tienda B,Electrónica,Carlos,Tablet Lenovo,4, $144.79 , $579.16 
5/22/2026,Tienda E,Deportes,Lucía,Bicicleta Trek,3, $638.66 ," $1,915.98 "
5/23/2026,Tienda E,Deportes,María,Raqueta Wilson,10, $647.67 ," $6,476.70 "
5/24/2026,Tienda C,Belleza,Ana,Plancha de cabello Remington,5, $938.49 ," $4,692.45 "
5/25/2026,Tienda C,Ropa,María,Casaca Puma,3, $33.20 , $99.60 
5/26/2026,Tienda B,Belleza,Carlos,Secadora Philips,8," $1,453.51 "," $11,628.08 "
5/27/2026,Tienda D,Electrónica,Pedro,Smartwatch Apple,6, $109.18 , $655.08 
5/28/2026,Tienda B,Electrónica,Pedro,Laptop HP,3," $1,181.17 "," $3,543.51 "
5/29/2026,Tienda A,Juguetes,Lucía,Puzzle 1000 piezas,1, $540.91 , $540.91 
5/30/2026,Tienda B,Electrónica,Lucía,Smartphone Samsung,9, $819.05 ," $7,371.45 "
5/31/2026,Tienda D,Belleza,Lucía,Maquillaje Maybelline,4, $48.45 , $193.80 
06/01/2026,Tienda A,Hogar,Luis,Microondas LG,9, $660.80 ," $5,947.20 "
06/02/2026,Tienda B,Electrónica,María,Smartwatch Apple,1, $528.01 , $528.01 
06/03/2026,Tienda B,Hogar,Ana,Microondas LG,4, $753.11 ," $3,012.44 "
06/04/2026,Tienda E,Hogar,Rosa,Plancha Philips,5," $1,169.35 "," $5,846.75 "
06/05/2026,Tienda A,Juguetes,María,Muñeca Barbie,3," $1,296.87 "," $3,890.61 "
06/06/2026,Tienda A,Electrónica,Luis,Tablet Lenovo,9, $676.90 ," $6,092.10 "
06/07/2026,Tienda E,Deportes,Luis,Cuerda para saltar,8, $198.09 ," $1,584.72 "
06/08/2026,Tienda E,Juguetes,Ana,Auto Hot Wheels,2, $620.50 ," $1,241.00 "
06/09/2026,Tienda E,Ropa,Pedro,Pantalón Levi's,7," $1,212.10 "," $8,484.70 "
06/10/2026,Tienda D,Electrónica,María,Laptop HP,2," $1,249.73 "," $2,499.46 "
06/11/2026,Tienda E,Deportes,María,Raqueta Wilson,7," $1,248.36 "," $8,738.52 "
06/12/2026,Tienda D,Deportes,Luis,Balón Adidas,10, $945.38 ," $9,453.80 "
6/13/2026,Tienda D,Hogar,Ana,Licuadora Oster,6," $1,442.78 "," $8,656.68 "
6/14/2026,Tienda E,Ropa,Pedro,Zapatillas Nike,3," $1,473.55 "," $4,420.65 "
6/15/2026,Tienda B,Belleza,Carlos,Plancha de cabello Remington,4, $139.83 , $559.32 
6/16/2026,Tienda D,Electrónica,Lucía,Smartphone Samsung,1," $1,446.13 "," $1,446.13 "
6/17/2026,Tienda E,Deportes,María,Bicicleta Trek,9, $826.89 ," $7,442.01 "
6/18/2026,Tienda E,Ropa,Pedro,Zapatillas Nike,5, $191.61 , $958.05 
6/19/2026,Tienda A,Hogar,José,Plancha Philips,5," $1,164.13 "," $5,820.65 "
6/20/2026,Tienda D,Juguetes,Luis,Drone para niños,3, $320.64 , $961.92 
6/21/2026,Tienda B,Hogar,Pedro,Licuadora Oster,4, $984.64 ," $3,938.56 "
6/22/2026,Tienda C,Juguetes,Pedro,Drone para niños,2, $200.95 , $401.90 
6/23/2026,Tienda A,Belleza,Luis,Secadora Philips,1, $157.57 , $157.57 
6/24/2026,Tienda B,Hogar,Lucía,Cafetera Delonghi,9, $376.64 ," $3,389.76 "
6/25/2026,Tienda A,Deportes,María,Raqueta Wilson,8, $744.61 ," $5,956.88 "
6/26/2026,Tienda A,Electrónica,José,Auriculares Sony,4, $675.25 ," $2,701.00 "
6/27/2026,Tienda C,Juguetes,Ana,Drone para niños,9," $1,131.60 "," $10,184.40 "
6/28/2026,Tienda D,Ropa,Pedro,Zapatillas Nike,3, $237.33 , $711.99 
6/29/2026,Tienda D,Ropa,Pedro,Polo Adidas,2, $801.93 ," $1,603.86 "
6/30/2026,Tienda E,Juguetes,Carlos,Muñeca Barbie,7, $886.14 ," $6,202.98 "
07/01/2026,Tienda A,Hogar,Ana,Microondas LG,9," $1,496.71 "," $13,470.39 "
07/02/2026,Tienda E,Juguetes,Pedro,Puzzle 1000 piezas,8," $1,312.58 "," $10,500.64 "
07/03/2026,Tienda A,Belleza,María,Crema Nivea,9, $66.67 , $600.03 
07/04/2026,Tienda C,Ropa,Rosa,Camisa Lacoste,5, $41.80 , $209.00 
07/05/2026,Tienda D,Hogar,Pedro,Microondas LG,5, $461.91 ," $2,309.55 "
07/06/2026,Tienda A,Ropa,Lucía,Pantalón Levi's,5, $951.61 ," $4,758.05 "
07/07/2026,Tienda E,Electrónica,Lucía,Smartphone Samsung,6," $1,232.61 "," $7,395.66 "
07/08/2026,Tienda C,Ropa,Pedro,Casaca Puma,5, $780.75 ," $3,903.75 "
07/09/2026,Tienda A,Juguetes,Lucía,Puzzle 1000 piezas,5, $741.27 ," $3,706.35 "
07/10/2026,Tienda C,Ropa,Pedro,Zapatillas Nike,1," $1,485.35 "," $1,485.35 "
07/11/2026,Tienda C,Juguetes,Rosa,Auto Hot Wheels,3," $1,081.54 "," $3,244.62 "
07/12/2026,Tienda E,Hogar,Rosa,Cafetera Delonghi,2, $791.51 ," $1,583.02 "
7/13/2026,Tienda E,Deportes,Lucía,Bicicleta Trek,5, $836.01 ," $4,180.05 "
7/14/2026,Tienda D,Deportes,Luis,Balón Adidas,9, $717.73 ," $6,459.57 "
7/15/2026,Tienda D,Belleza,María,Maquillaje Maybelline,7," $1,426.46 "," $9,985.22 "
7/16/2026,Tienda A,Electrónica,Carlos,Auriculares Sony,2," $1,499.62 "," $2,999.24 "
7/17/2026,Tienda C,Juguetes,Ana,Auto Hot Wheels,3, $154.89 , $464.67 
7/18/2026,Tienda E,Electrónica,Carlos,Smartwatch Apple,4," $1,409.34 "," $5,637.36 "
7/19/2026,Tienda D,Electrónica,María,Auriculares Sony,8," $1,146.41 "," $9,171.28 "
7/20/2026,Tienda D,Hogar,Rosa,Licuadora Oster,8, $298.57 ," $2,388.56 "
7/21/2026,Tienda D,Belleza,Luis,Maquillaje Maybelline,6," $1,244.38 "," $7,466.28 "
7/22/2026,Tienda B,Juguetes,Lucía,Muñeca Barbie,1, $423.89 , $423.89 
7/23/2026,Tienda B,Ropa,Pedro,Casaca Puma,9, $708.63 ," $6,377.67 "
7/24/2026,Tienda D,Electrónica,José,Laptop HP,6, $356.97 ," $2,141.82 "
7/25/2026,Tienda B,Juguetes,Luis,Puzzle 1000 piezas,5," $1,254.18 "," $6,270.90 "
7/26/2026,Tienda B,Ropa,José,Pantalón Levi's,10, $910.46 ," $9,104.60 "
7/27/2026,Tienda B,Electrónica,Lucía,Tablet Lenovo,3, $89.20 , $267.60 
7/28/2026,Tienda D,Electrónica,Lucía,Smartphone Samsung,1, $784.12 , $784.12 
7/29/2026,Tienda B,Ropa,María,Pantalón Levi's,10, $993.99 ," $9,939.90 "
7/30/2026,Tienda A,Ropa,Carlos,Camisa Lacoste,5," $1,144.18 "," $5,720.90 "
7/31/2026,Tienda C,Ropa,Rosa,Zapatillas Nike,3, $59.73 , $179.19 
08/01/2026,Tienda D,Electrónica,Lucía,Smartphone Samsung,4," $1,004.96 "," $4,019.84 "
08/02/2026,Tienda A,Deportes,Rosa,Raqueta Wilson,8," $1,171.26 "," $9,370.08 "
08/03/2026,Tienda B,Belleza,Luis,Plancha de cabello Remington,9, $198.88 ," $1,789.92 "
08/04/2026,Tienda D,Hogar,María,Cafetera Delonghi,7," $1,445.49 "," $10,118.43 "
08/05/2026,Tienda C,Juguetes,Pedro,Drone para niños,3," $1,358.17 "," $4,074.51 "
08/06/2026,Tienda A,Ropa,Lucía,Pantalón Levi's,6," $1,155.12 "," $6,930.72 "
08/07/2026,Tienda D,Hogar,Luis,Licuadora Oster,6, $258.88 ," $1,553.28 "
08/08/2026,Tienda D,Deportes,Luis,Guantes Everlast,3, $703.91 ," $2,111.73 "
08/09/2026,Tienda C,Juguetes,Luis,Auto Hot Wheels,6, $740.10 ," $4,440.60 "
08/10/2026,Tienda D,Hogar,Carlos,Cafetera Delonghi,6, $133.55 , $801.30 
08/11/2026,Tienda E,Belleza,María,Maquillaje Maybelline,4, $557.94 ," $2,231.76 "
08/12/2026,Tienda E,Belleza,José,Maquillaje Maybelline,7, $714.73 ," $5,003.11 "
8/13/2026,Tienda A,Electrónica,María,Smartphone Samsung,3, $167.52 , $502.56 
8/14/2026,Tienda A,Ropa,Ana,Zapatillas Nike,8," $1,167.16 "," $9,337.28 "
8/15/2026,Tienda A,Juguetes,Lucía,Drone para niños,4," $1,063.99 "," $4,255.96 "
8/16/2026,Tienda C,Juguetes,María,Muñeca Barbie,6," $1,075.54 "," $6,453.24 "
8/17/2026,Tienda B,Hogar,Pedro,Cafetera Delonghi,8, $923.37 ," $7,386.96 "
8/18/2026,Tienda E,Belleza,Rosa,Crema Nivea,8, $475.10 ," $3,800.80 "
8/19/2026,Tienda B,Belleza,Luis,Maquillaje Maybelline,6," $1,303.92 "," $7,823.52 "
8/20/2026,Tienda D,Hogar,Carlos,Ventilador Imaco,8, $377.52 ," $3,020.16 "
8/21/2026,Tienda C,Belleza,José,Perfume Dior,7, $441.72 ," $3,092.04 "
8/22/2026,Tienda E,Belleza,Luis,Perfume Dior,6, $427.50 ," $2,565.00 "
8/23/2026,Tienda C,Juguetes,José,Auto Hot Wheels,10, $246.03 ," $2,460.30 "
8/24/2026,Tienda A,Deportes,Lucía,Balón Adidas,2, $843.75 ," $1,687.50 "
8/25/2026,Tienda B,Juguetes,Carlos,Puzzle 1000 piezas,2, $582.33 ," $1,164.66 "
8/26/2026,Tienda D,Hogar,María,Plancha Philips,10," $1,086.06 "," $10,860.60 "
8/27/2026,Tienda D,Hogar,Ana,Cafetera Delonghi,10, $314.53 ," $3,145.30 "
8/28/2026,Tienda A,Electrónica,Luis,Auriculares Sony,5, $211.01 ," $1,055.05 "
8/29/2026,Tienda E,Deportes,Pedro,Guantes Everlast,10, $812.79 ," $8,127.90 "
8/30/2026,Tienda D,Hogar,Pedro,Ventilador Imaco,1, $908.59 , $908.59 
8/31/2026,Tienda D,Ropa,María,Polo Adidas,6, $403.88 ," $2,423.28 "
09/01/2026,Tienda E,Deportes,José,Bicicleta Trek,9, $278.41 ," $2,505.69 "
09/02/2026,Tienda B,Belleza,Carlos,Crema Nivea,1, $26.69 , $26.69 
09/03/2026,Tienda B,Ropa,Rosa,Pantalón Levi's,5, $459.10 ," $2,295.50 "
09/04/2026,Tienda D,Deportes,Ana,Bicicleta Trek,1, $953.89 , $953.89 
09/05/2026,Tienda D,Deportes,Luis,Balón Adidas,10, $738.82 ," $7,388.20 "
09/06/2026,Tienda B,Hogar,José,Plancha Philips,10," $1,494.63 "," $14,946.30 "
09/07/2026,Tienda D,Belleza,Luis,Plancha de cabello Remington,2, $820.70 ," $1,641.40 "
09/08/2026,Tienda A,Ropa,Ana,Casaca Puma,2, $116.70 , $233.40 
09/09/2026,Tienda B,Deportes,Rosa,Raqueta Wilson,2, $77.15 , $154.30 
09/10/2026,Tienda A,Deportes,Lucía,Balón Adidas,1," $1,497.69 "," $1,497.69 "
09/11/2026,Tienda C,Hogar,José,Microondas LG,6," $1,130.27 "," $6,781.62 "
09/12/2026,Tienda E,Belleza,José,Crema Nivea,6," $1,047.11 "," $6,282.66 "
9/13/2026,Tienda A,Deportes,José,Balón Adidas,10, $225.27 ," $2,252.70 "
9/14/2026,Tienda A,Electrónica,Carlos,Auriculares Sony,1," $1,162.48 "," $1,162.48 "
9/15/2026,Tienda A,Electrónica,José,Smartphone Samsung,3, $753.70 ," $2,261.10 "
9/16/2026,Tienda C,Ropa,Ana,Casaca Puma,5," $1,422.27 "," $7,111.35 "
9/17/2026,Tienda B,Ropa,Pedro,Zapatillas Nike,4, $872.42 ," $3,489.68 "
9/18/2026,Tienda E,Hogar,Luis,Licuadora Oster,1, $118.62 , $118.62 
9/19/2026,Tienda E,Electrónica,Ana,Laptop HP,1," $1,457.78 "," $1,457.78 "
9/20/2026,Tienda B,Juguetes,Pedro,Puzzle 1000 piezas,9, $139.05 ," $1,251.45 "
9/21/2026,Tienda E,Deportes,Carlos,Guantes Everlast,4," $1,459.93 "," $5,839.72 "
9/22/2026,Tienda B,Juguetes,José,Muñeca Barbie,7, $403.42 ," $2,823.94 "
9/23/2026,Tienda E,Hogar,Pedro,Plancha Philips,6, $744.90 ," $4,469.40 "
9/24/2026,Tienda B,Juguetes,José,Auto Hot Wheels,5," $1,019.60 "," $5,098.00 "
9/25/2026,Tienda A,Belleza,Pedro,Perfume Dior,9, $560.57 ," $5,045.13 "
9/26/2026,Tienda A,Juguetes,María,Lego Star Wars,4, $292.59 ," $1,170.36 "
9/27/2026,Tienda B,Ropa,Lucía,Zapatillas Nike,1," $1,378.39 "," $1,378.39 "
9/28/2026,Tienda B,Electrónica,Ana,Smartwatch Apple,5, $777.25 ," $3,886.25 "
9/29/2026,Tienda B,Ropa,Carlos,Camisa Lacoste,5, $301.14 ," $1,505.70 "
9/30/2026,Tienda A,Belleza,Lucía,Perfume Dior,4, $481.84 ," $1,927.36 "
10/01/2026,Tienda D,Belleza,Pedro,Maquillaje Maybelline,6," $1,156.12 "," $6,936.72 "
10/02/2026,Tienda E,Belleza,José,Perfume Dior,1," $1,304.03 "," $1,304.03 "
10/03/2026,Tienda B,Hogar,Luis,Cafetera Delonghi,8, $148.93 ," $1,191.44 "
10/04/2026,Tienda E,Hogar,José,Ventilador Imaco,2," $1,263.00 "," $2,526.00 "
10/05/2026,Tienda B,Deportes,Carlos,Balón Adidas,8, $369.92 ," $2,959.36 "
10/06/2026,Tienda D,Ropa,Luis,Polo Adidas,1, $936.18 , $936.18 
10/07/2026,Tienda D,Electrónica,Carlos,Laptop HP,4," $1,462.34 "," $5,849.36 "
